time,.layout.dim,.layout.data_offset,.data
2018/05/29/10:46:50.148631,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:50.148670,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:50.148839,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:50.148897,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.150221,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.150260,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.151252,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.156096,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.159032,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.159893,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:50.160333,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.160525,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.160832,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:50.184348,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.217233,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.220453,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.265201,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.285631,[],0,"(-0.1530679613351822, -0.21053439378738403, 419.36517333984375)"
2018/05/29/10:46:50.298458,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.329004,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.345388,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.361419,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.392256,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.409642,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.424918,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:50.458702,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.483124,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:50.488469,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.520618,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.536505,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.553554,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.585397,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.600409,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.632056,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:50.649697,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.664587,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.696003,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.712432,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.728209,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:50.759901,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:50.776423,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.792651,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.840095,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.856537,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.872363,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.906461,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.919999,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.937056,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.967853,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:50.984707,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.000484,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.031769,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.047962,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.064196,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.099908,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.112534,[],0,"(-0.16325220465660095, -0.20718802511692047, 419.3652038574219)"
2018/05/29/10:46:51.128303,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:51.159919,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:51.177296,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:51.192730,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:51.224377,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:51.242503,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:51.271635,[],0,"(-0.1530679613351822, -0.21053439378738403, 419.36517333984375)"
2018/05/29/10:46:51.288883,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:51.305036,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
